name,category,instructions,glass,glass-size,ingredients,measurements
Gauguin,Cocktail Classics,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Top with a cherry.,Old-Fashioned Glass,6 to 8 ounces," Light Rum,  Passion Fruit Syrup,  Lemon Juice,  Lime Juice","2 oz  Light Rum, 1 oz  Passion Fruit Syrup, 1 oz  Lemon Juice, 1 oz  Lime Juice"
Fort Lauderdale,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes. Add a slice of orange.,Old-Fashioned Glass,6 to 8 ounces," Light Rum,  Sweet Vermouth,  Orange Juice,  Lime Juice","1 1/2 oz  Light Rum, 1/2 oz  Sweet Vermouth, 1/4 oz  Orange Juice, 1/4 oz  Lime Juice"
Apple Pie,Cordials and Liqueurs,Pour into ice-filled old-fashioned glass. Garnish with apple and top with cinnamon.,Old-Fashioned Glass,6 to 8 ounces," Apple schnapps,  Cinnamon schnapps,  Apple slice","3 oz  Apple schnapps, 1 oz  Cinnamon schnapps,   Apple slice"
Cuban Cocktail No. 1,Cocktail Classics,Shake with ice and  strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lime Juice,  Powdered Sugar,  Light Rum","1/2 oz  Lime Juice, 1/2 oz  Powdered Sugar, 2 oz  Light Rum"
Cool Carlos,Cocktail Classics,"Mix all ingredients except curacao with ice, shake well. Pour into collins glass and float curacao on top. Garnish with pineapple and orange slices, and a cherry.",Collins Glass,14 to 16 ounces," Dark rum,  Cranberry Juice,  Pineapple Juice,  Orange curacao,  Sour Mix","1 1/2 oz  Dark rum, 2 oz  Cranberry Juice, 2 oz  Pineapple Juice, 1 oz  Orange curacao, 1 oz  Sour Mix"
John Collins,Whiskies,"Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with orange, lemon, and cherry. Serve with straws.",Collins Glass,14 to 16 ounces," whiskey,  Lemon juice,  Simple Syrup,  Soda water,  Orange , lemon wheels, maraschino cherry","2 oz  whiskey, 1 oz  Lemon juice, 1/2 oz  Simple Syrup, 1 oz  Soda water, 1 oz  Orange and lemon wheels, maraschino cherry"
Cherry Rum,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Light Rum,  cherry-flavored brandy,  Light cream","1 1/4 oz  Light Rum, 1 1/2 oz  cherry-flavored brandy, 1 oz  Light cream"
Casa Blanca,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Light Rum,  Lime Juice,  Triple Sec,  Maraschino","2 oz  Light Rum, 1 1/2 oz  Lime Juice, 1 1/2 oz  Triple Sec, 1 1/2 oz  Maraschino"
Caribbean Champagne,Cocktail Classics,Pour rum and baa liqueur into champagne flute. Fill with champagne and stir lightly. Add a slice of baa.,Champagne Flute,6 to 8 ounces," Light Rum,  Creme de baa, Chilled Champagne","1/2 oz  Light Rum, 1/2 oz  Creme de baa,   Chilled Champagne"
Amber Amour,Cordials and Liqueurs,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with cherry.",Collins Glass,14 to 16 ounces," Amaretto,  Lemon juice,  Simple Syrup,  Soda water","1 1/2 oz  Amaretto, 1/4 oz  Lemon juice, 1/4 oz  Simple Syrup,   Soda water,  Maraschino cherry "
